Date,Type,Description,Account_Type,Card_Name,Amount,Category
2024-05-31,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2000.33,Services
2024-05-31,Expense,Supply Warehouse,Business,Business Checking *9901,-526.84,Services
2024-05-31,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-82.09,Food & Drink
2024-06-01,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2816.63,Services
2024-06-01,Expense,Supply Warehouse,Business,Business Checking *9901,-533.66,Services
2024-06-01,Expense,Rent,Personal,Adv SafeBalance *2290,-2000.0,Bills
2024-06-01,Expense,Sub: Netflix,Personal,Travel Rewards *5541,-19.99,Entertainment
2024-06-01,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-49.48,Travel
2024-06-03,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1881.46,Services
2024-06-03,Expense,Sub: Spotify,Personal,Travel Rewards *5541,-10.99,Entertainment
2024-06-03,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-174.51,Shopping
2024-06-04,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2652.04,Services
2024-06-04,Expense,Supply Warehouse,Business,Business Checking *9901,-530.85,Services
2024-06-05,Expense,Supply Warehouse,Business,Business Checking *9901,-222.56,Services
2024-06-05,Expense,Sub: YouTube Premium,Personal,Travel Rewards *5541,-13.99,Entertainment
2024-06-05,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-151.32,Transport
2024-06-06,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2022.22,Services
2024-06-06,Expense,Supply Warehouse,Business,Business Checking *9901,-195.67,Services
2024-06-07,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2501.01,Services
2024-06-07,Expense,Sub: Amazon Prime,Personal,Platinum Mastercard *1820,-14.99,Shopping
2024-06-08,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1698.15,Services
2024-06-08,Expense,Supply Warehouse,Business,Business Checking *9901,-220.2,Services
2024-06-08,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-119.3,Shopping
2024-06-09,Expense,Sub: Adobe CC,Business,Business Checking *9901,-54.99,Services
2024-06-09,Expense,Health Purchase,Personal,Travel Rewards *5541,-121.12,Health
2024-06-10,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2149.98,Services
2024-06-10,Expense,Supply Warehouse,Business,Business Checking *9901,-259.12,Services
2024-06-10,Transfer,Owner Payout,Business,Business Checking *9901,-6666.67,Bills
2024-06-10,Transfer,Transfer from Business,Personal,Adv SafeBalance *2290,6666.67,Services
2024-06-11,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2292.0,Services
2024-06-11,Expense,Sub: ChatGPT Plus,Business,Business Checking *9901,-20.0,Services
2024-06-12,Transfer,CC Pmt 1820,Personal,Adv SafeBalance *2290,-1818.23,Bills
2024-06-12,Payment,Payment Received,Personal,Platinum Mastercard *1820,1818.23,Bills
2024-06-12,Transfer,CC Pmt 5541,Personal,Adv SafeBalance *2290,-1697.97,Bills
2024-06-12,Payment,Payment Received,Personal,Travel Rewards *5541,1697.97,Bills
2024-06-13,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1154.84,Services
2024-06-13,Expense,Sub: iCloud+,Personal,Platinum Mastercard *1820,-9.99,Bills
2024-06-14,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1113.18,Services
2024-06-15,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1283.76,Services
2024-06-15,Expense,Sub: Hulu,Personal,Travel Rewards *5541,-14.99,Entertainment
2024-06-16,Expense,Travel Purchase,Personal,Travel Rewards *5541,-32.24,Travel
2024-06-17,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1056.75,Services
2024-06-17,Expense,Sub: Microsoft 365,Business,Business Checking *9901,-6.99,Services
2024-06-18,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2383.8,Services
2024-06-18,Expense,Supply Warehouse,Business,Business Checking *9901,-395.11,Services
2024-06-19,Expense,Sub: Playstation Plus,Personal,Platinum Mastercard *1820,-14.99,Entertainment
2024-06-20,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2713.28,Services
2024-06-20,Expense,Supply Warehouse,Business,Business Checking *9901,-393.36,Services
2024-06-20,Expense,Travel Purchase,Personal,Travel Rewards *5541,-171.5,Travel
2024-06-21,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2535.89,Services
2024-06-21,Expense,Transport Purchase,Personal,Travel Rewards *5541,-71.85,Transport
2024-06-22,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1052.86,Services
2024-06-22,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-100.68,Shopping
2024-06-23,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-120.96,Shopping
2024-06-24,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2920.99,Services
2024-06-24,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-196.54,Transport
2024-06-25,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1543.81,Services
2024-06-25,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-108.06,Travel
2024-06-26,Expense,Supply Warehouse,Business,Business Checking *9901,-473.74,Services
2024-06-26,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-37.21,Food & Drink
2024-06-27,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1411.55,Services
2024-06-27,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-87.49,Food & Drink
2024-06-28,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2149.34,Services
2024-06-28,Expense,Supply Warehouse,Business,Business Checking *9901,-275.6,Services
2024-06-28,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-149.58,Shopping
2024-06-29,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1455.24,Services
2024-06-29,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-131.14,Entertainment
2024-06-30,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-32.4,Food & Drink
2024-07-01,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,962.66,Services
2024-07-01,Expense,Rent,Personal,Adv SafeBalance *2290,-2000.0,Bills
2024-07-01,Expense,Sub: Netflix,Personal,Travel Rewards *5541,-19.99,Entertainment
2024-07-02,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1358.59,Services
2024-07-02,Expense,Health Purchase,Personal,Platinum Mastercard *1820,-130.67,Health
2024-07-03,Expense,Sub: Spotify,Personal,Travel Rewards *5541,-10.99,Entertainment
2024-07-03,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-58.48,Shopping
2024-07-04,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1078.06,Services
2024-07-05,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1389.66,Services
2024-07-05,Expense,Sub: YouTube Premium,Personal,Travel Rewards *5541,-13.99,Entertainment
2024-07-06,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1898.29,Services
2024-07-06,Expense,Supply Warehouse,Business,Business Checking *9901,-520.75,Services
2024-07-06,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-53.42,Entertainment
2024-07-07,Expense,Sub: Amazon Prime,Personal,Platinum Mastercard *1820,-14.99,Shopping
2024-07-07,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-88.3,Shopping
2024-07-08,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1832.3,Services
2024-07-08,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-79.93,Food & Drink
2024-07-09,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2134.15,Services
2024-07-09,Expense,Sub: Adobe CC,Business,Business Checking *9901,-54.99,Services
2024-07-09,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-198.36,Shopping
2024-07-10,Expense,Supply Warehouse,Business,Business Checking *9901,-306.77,Services
2024-07-10,Transfer,Owner Payout,Business,Business Checking *9901,-6666.67,Bills
2024-07-10,Transfer,Transfer from Business,Personal,Adv SafeBalance *2290,6666.67,Services
2024-07-10,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-152.72,Entertainment
2024-07-11,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1826.68,Services
2024-07-11,Expense,Sub: ChatGPT Plus,Business,Business Checking *9901,-20.0,Services
2024-07-11,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-19.72,Travel
2024-07-12,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2312.84,Services
2024-07-12,Expense,Supply Warehouse,Business,Business Checking *9901,-554.89,Services
2024-07-12,Transfer,CC Pmt 1820,Personal,Adv SafeBalance *2290,-1710.7,Bills
2024-07-12,Payment,Payment Received,Personal,Platinum Mastercard *1820,1710.7,Bills
2024-07-12,Transfer,CC Pmt 5541,Personal,Adv SafeBalance *2290,-1594.09,Bills
2024-07-12,Payment,Payment Received,Personal,Travel Rewards *5541,1594.09,Bills
2024-07-12,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-83.22,Travel
2024-07-13,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1863.09,Services
2024-07-13,Expense,Sub: iCloud+,Personal,Platinum Mastercard *1820,-9.99,Bills
2024-07-14,Expense,Supply Warehouse,Business,Business Checking *9901,-350.49,Services
2024-07-15,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1089.36,Services
2024-07-15,Expense,Sub: Hulu,Personal,Travel Rewards *5541,-14.99,Entertainment
2024-07-15,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-73.64,Food & Drink
2024-07-16,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1773.78,Services
2024-07-16,Expense,Supply Warehouse,Business,Business Checking *9901,-382.08,Services
2024-07-16,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-54.86,Travel
2024-07-17,Expense,Sub: Microsoft 365,Business,Business Checking *9901,-6.99,Services
2024-07-18,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1546.52,Services
2024-07-18,Expense,Travel Purchase,Personal,Travel Rewards *5541,-29.05,Travel
2024-07-19,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1545.81,Services
2024-07-19,Expense,Sub: Playstation Plus,Personal,Platinum Mastercard *1820,-14.99,Entertainment
2024-07-19,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-142.36,Travel
2024-07-20,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2467.97,Services
2024-07-20,Expense,Supply Warehouse,Business,Business Checking *9901,-363.43,Services
2024-07-20,Expense,Transport Purchase,Personal,Travel Rewards *5541,-126.88,Transport
2024-07-22,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,964.44,Services
2024-07-22,Expense,Transport Purchase,Personal,Travel Rewards *5541,-129.71,Transport
2024-07-23,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2666.19,Services
2024-07-23,Expense,Supply Warehouse,Business,Business Checking *9901,-210.43,Services
2024-07-23,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-23.89,Food & Drink
2024-07-25,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1565.27,Services
2024-07-25,Expense,Health Purchase,Personal,Travel Rewards *5541,-120.7,Health
2024-07-26,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1329.3,Services
2024-07-26,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-166.25,Entertainment
2024-07-27,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2698.13,Services
2024-07-27,Expense,Health Purchase,Personal,Platinum Mastercard *1820,-174.76,Health
2024-07-28,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-177.62,Transport
2024-07-29,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2554.84,Services
2024-07-29,Expense,Supply Warehouse,Business,Business Checking *9901,-361.5,Services
2024-07-29,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-31.88,Food & Drink
2024-07-30,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2921.05,Services
2024-07-30,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-35.81,Shopping
2024-07-31,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-29.9,Entertainment
2024-08-01,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,930.69,Services
2024-08-01,Expense,Rent,Personal,Adv SafeBalance *2290,-2000.0,Bills
2024-08-01,Expense,Sub: Netflix,Personal,Travel Rewards *5541,-19.99,Entertainment
2024-08-01,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-146.87,Food & Drink
2024-08-02,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1409.51,Services
2024-08-03,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1949.68,Services
2024-08-03,Expense,Sub: Spotify,Personal,Travel Rewards *5541,-10.99,Entertainment
2024-08-03,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-25.59,Entertainment
2024-08-04,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-64.58,Food & Drink
2024-08-05,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2052.72,Services
2024-08-05,Expense,Supply Warehouse,Business,Business Checking *9901,-169.25,Services
2024-08-05,Expense,Sub: YouTube Premium,Personal,Travel Rewards *5541,-13.99,Entertainment
2024-08-06,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2329.88,Services
2024-08-06,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-78.45,Entertainment
2024-08-07,Expense,Sub: Amazon Prime,Personal,Platinum Mastercard *1820,-14.99,Shopping
2024-08-08,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1949.84,Services
2024-08-08,Expense,Supply Warehouse,Business,Business Checking *9901,-241.22,Services
2024-08-09,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2545.61,Services
2024-08-09,Expense,Sub: Adobe CC,Business,Business Checking *9901,-54.99,Services
2024-08-10,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2914.35,Services
2024-08-10,Transfer,Owner Payout,Business,Business Checking *9901,-6666.67,Bills
2024-08-10,Transfer,Transfer from Business,Personal,Adv SafeBalance *2290,6666.67,Services
2024-08-10,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-106.77,Entertainment
2024-08-11,Expense,Sub: ChatGPT Plus,Business,Business Checking *9901,-20.0,Services
2024-08-11,Expense,Travel Purchase,Personal,Travel Rewards *5541,-79.65,Travel
2024-08-12,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1315.29,Services
2024-08-12,Transfer,CC Pmt 1820,Personal,Adv SafeBalance *2290,-1839.3,Bills
2024-08-12,Payment,Payment Received,Personal,Platinum Mastercard *1820,1839.3,Bills
2024-08-12,Transfer,CC Pmt 5541,Personal,Adv SafeBalance *2290,-1410.25,Bills
2024-08-12,Payment,Payment Received,Personal,Travel Rewards *5541,1410.25,Bills
2024-08-12,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-128.38,Shopping
2024-08-13,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2592.79,Services
2024-08-13,Expense,Sub: iCloud+,Personal,Platinum Mastercard *1820,-9.99,Bills
2024-08-15,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2090.24,Services
2024-08-15,Expense,Sub: Hulu,Personal,Travel Rewards *5541,-14.99,Entertainment
2024-08-15,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-65.53,Travel
2024-08-16,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1159.7,Services
2024-08-16,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-172.92,Travel
2024-08-17,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2529.48,Services
2024-08-17,Expense,Supply Warehouse,Business,Business Checking *9901,-212.3,Services
2024-08-17,Expense,Sub: Microsoft 365,Business,Business Checking *9901,-6.99,Services
2024-08-17,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-79.97,Entertainment
2024-08-18,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-40.54,Entertainment
2024-08-19,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2958.99,Services
2024-08-19,Expense,Sub: Playstation Plus,Personal,Platinum Mastercard *1820,-14.99,Entertainment
2024-08-19,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-25.25,Shopping
2024-08-20,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1034.58,Services
2024-08-20,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-130.78,Travel
2024-08-21,Expense,Supply Warehouse,Business,Business Checking *9901,-137.99,Services
2024-08-22,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2506.08,Services
2024-08-22,Expense,Health Purchase,Personal,Travel Rewards *5541,-122.54,Health
2024-08-23,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2350.01,Services
2024-08-23,Expense,Supply Warehouse,Business,Business Checking *9901,-298.95,Services
2024-08-23,Expense,Travel Purchase,Personal,Travel Rewards *5541,-75.85,Travel
2024-08-24,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1791.38,Services
2024-08-24,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-108.19,Transport
2024-08-25,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-21.47,Entertainment
2024-08-26,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2724.71,Services
2024-08-27,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1029.57,Services
2024-08-27,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-57.86,Transport
2024-08-28,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-66.03,Transport
2024-08-29,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2194.26,Services
2024-08-29,Expense,Supply Warehouse,Business,Business Checking *9901,-494.64,Services
2024-08-29,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-53.85,Travel
2024-08-30,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1759.53,Services
2024-08-30,Expense,Supply Warehouse,Business,Business Checking *9901,-301.06,Services
2024-08-31,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2367.26,Services
2024-08-31,Expense,Supply Warehouse,Business,Business Checking *9901,-264.55,Services
2024-08-31,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-153.75,Food & Drink
2024-09-01,Expense,Supply Warehouse,Business,Business Checking *9901,-538.57,Services
2024-09-01,Expense,Rent,Personal,Adv SafeBalance *2290,-2000.0,Bills
2024-09-01,Expense,Sub: Netflix,Personal,Travel Rewards *5541,-19.99,Entertainment
2024-09-02,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1100.65,Services
2024-09-02,Expense,Supply Warehouse,Business,Business Checking *9901,-554.01,Services
2024-09-02,Expense,Transport Purchase,Personal,Travel Rewards *5541,-92.89,Transport
2024-09-03,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2424.76,Services
2024-09-03,Expense,Sub: Spotify,Personal,Travel Rewards *5541,-10.99,Entertainment
2024-09-04,Expense,Transport Purchase,Personal,Travel Rewards *5541,-140.31,Transport
2024-09-05,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2309.53,Services
2024-09-05,Expense,Sub: YouTube Premium,Personal,Travel Rewards *5541,-13.99,Entertainment
2024-09-05,Expense,Health Purchase,Personal,Platinum Mastercard *1820,-89.86,Health
2024-09-06,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1136.94,Services
2024-09-06,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-80.34,Transport
2024-09-07,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1324.93,Services
2024-09-07,Expense,Supply Warehouse,Business,Business Checking *9901,-255.69,Services
2024-09-07,Expense,Sub: Amazon Prime,Personal,Platinum Mastercard *1820,-14.99,Shopping
2024-09-09,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2060.84,Services
2024-09-09,Expense,Supply Warehouse,Business,Business Checking *9901,-496.28,Services
2024-09-09,Expense,Sub: Adobe CC,Business,Business Checking *9901,-54.99,Services
2024-09-10,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2290.45,Services
